mutation_rate,repeat,seed,runtime_s,final_best,final_avg,convergence_gen
0.05,1,1001,1.5460138320922852,15,15,1
0.05,2,1002,1.5988447666168213,15,15,1
0.05,3,1003,1.6031882762908936,11,11,1
0.05,4,1004,1.2982022762298584,9,9,1
0.05,5,1005,1.8456599712371826,19,19,1
0.05,6,1006,1.8761920928955078,15,15,1
0.05,7,1007,2.4703283309936523,11,11,1
0.05,8,1008,2.3424735069274902,13,13,1
0.05,9,1009,3.243908643722534,15,15,1
0.05,10,1010,2.280506134033203,13,13,1
0.05,11,1011,3.2245638370513916,15,15,1
0.05,12,1012,2.7734713554382324,13,13,1
0.05,13,1013,3.579342842102051,17,17,1
0.05,14,1014,2.773062229156494,17,17,1
0.05,15,1015,2.7602195739746094,13,13,1
0.05,16,1016,2.08204984664917,15,15,1
0.05,17,1017,2.9199094772338867,11,11,1
0.05,18,1018,1.7117128372192383,9,9,1
0.05,19,1019,3.1728403568267822,15,15,1
0.05,20,1020,2.781794548034668,13,13,1
0.05,21,1021,3.735745429992676,15,15,1
0.05,22,1022,3.679356575012207,17,17,1
0.05,23,1023,3.104421854019165,17,17,1
0.05,24,1024,3.7910828590393066,17,17,1
0.05,25,1025,3.286013126373291,17,17,1
0.05,26,1026,3.258789300918579,15,15,1
0.05,27,1027,2.4420289993286133,11,11,1
0.05,28,1028,2.7512943744659424,17,17,1
0.05,29,1029,2.4680771827697754,13,13,1
0.05,30,1030,1.5729622840881348,17,17,1
0.1,1,1031,1.7161929607391357,15,15,1
0.1,2,1032,1.870250940322876,19,19,1
0.1,3,1033,1.321974754333496,13,13,1
0.1,4,1034,1.6672625541687012,11,11,1
0.1,5,1035,2.372048854827881,13,13,1
0.1,6,1036,2.138439178466797,15,15,1
0.1,7,1037,1.7343814373016357,15,15,1
0.1,8,1038,1.693998098373413,15,15,1
0.1,9,1039,1.5591437816619873,13,13,1
0.1,10,1040,1.6445040702819824,11,11,1
0.1,11,1041,2.809999465942383,17,17,1
0.1,12,1042,2.115206480026245,11,11,1
0.1,13,1043,2.958649158477783,15,15,1
0.1,14,1044,2.8195252418518066,13,13,1
0.1,15,1045,2.68336820602417,15,15,1
0.1,16,1046,2.398789167404175,13,13,1
0.1,17,1047,2.8581631183624268,17,17,1
0.1,18,1048,3.1149959564208984,17,17,1
0.1,19,1049,3.393871307373047,17,17,1
0.1,20,1050,2.5318844318389893,11,11,1
0.1,21,1051,2.6495449542999268,13,13,1
0.1,22,1052,2.784585952758789,13,13,1
0.1,23,1053,2.167377471923828,11,11,1
0.1,24,1054,2.992077350616455,15,15,1
0.1,25,1055,2.1875085830688477,13,13,1
0.1,26,1056,1.8589425086975098,9,9,1
0.1,27,1057,3.1882736682891846,17,17,1
0.1,28,1058,2.1795873641967773,9,9,1
0.1,29,1059,2.7883830070495605,17,17,1
0.1,30,1060,2.644761085510254,15,15,1
0.2,1,1061,3.1193034648895264,11,11,1
0.2,2,1062,2.8938257694244385,13,13,1
0.2,3,1063,2.740165948867798,17,17,1
0.2,4,1064,3.2347705364227295,19,19,1
0.2,5,1065,2.1339426040649414,9,9,1
0.2,6,1066,3.1251769065856934,19,19,1
0.2,7,1067,2.950758934020996,17,17,1
0.2,8,1068,3.0748918056488037,13,13,1
0.2,9,1069,2.763068199157715,17,17,1
0.2,10,1070,2.736175537109375,17,17,1
0.2,11,1071,3.310792922973633,19,19,1
0.2,12,1072,2.916156530380249,17,17,1
0.2,13,1073,2.667872190475464,13,13,1
0.2,14,1074,2.89790415763855,17,17,1
0.2,15,1075,3.6433980464935303,13,13,1
0.2,16,1076,3.7700490951538086,17,17,1
0.2,17,1077,3.2628471851348877,15,15,1
0.2,18,1078,3.2922110557556152,17,17,1
0.2,19,1079,3.0144267082214355,15,15,1
0.2,20,1080,2.45206356048584,13,13,1
0.2,21,1081,3.02132511138916,13,13,1
0.2,22,1082,3.257641553878784,15,15,1
0.2,23,1083,1.9938361644744873,9,9,1
0.2,24,1084,3.249079465866089,13,13,1
0.2,25,1085,3.1579599380493164,17,17,1
0.2,26,1086,2.361818552017212,13,13,1
0.2,27,1087,1.890491247177124,19,19,1
0.2,28,1088,1.7515099048614502,15,15,1
0.2,29,1089,1.8308179378509521,17,17,1
0.2,30,1090,1.7544710636138916,15,15,1
0.3,1,1091,1.7972440719604492,17,17,1
0.3,2,1092,1.642448902130127,17,17,1
0.3,3,1093,1.6683154106140137,17,17,1
0.3,4,1094,1.6787216663360596,17,17,1
0.3,5,1095,1.570404052734375,15,15,1
0.3,6,1096,1.2227001190185547,11,11,1
0.3,7,1097,1.6947152614593506,17,17,1
0.3,8,1098,2.0389065742492676,17,17,1
0.3,9,1099,2.135408401489258,19,19,1
0.3,10,1100,1.685817003250122,13,13,1
0.3,11,1101,1.507953405380249,13,13,1
0.3,12,1102,1.568779706954956,17,17,1
0.3,13,1103,1.7949447631835938,15,15,1
0.3,14,1104,1.8615825176239014,15,15,1
0.3,15,1105,1.6035897731781006,15,15,1
0.3,16,1106,1.4168100357055664,13,13,1
0.3,17,1107,1.7011206150054932,15,15,1
0.3,18,1108,1.6473522186279297,19,19,1
0.3,19,1109,1.7416167259216309,15,15,1
0.3,20,1110,1.5892138481140137,17,17,1
0.3,21,1111,1.264112949371338,13,13,1
0.3,22,1112,1.6356303691864014,15,15,1
0.3,23,1113,1.2981362342834473,11,11,1
0.3,24,1114,1.6076223850250244,11,11,1
0.3,25,1115,1.6863627433776855,15,15,1
0.3,26,1116,1.737168312072754,15,15,1
0.3,27,1117,1.7377848625183105,17,17,1
0.3,28,1118,1.6862597465515137,15,15,1
0.3,29,1119,1.8736646175384521,17,17,1
0.3,30,1120,1.7028923034667969,17,17,1
0.4,1,1121,1.389028787612915,13,13,1
0.4,2,1122,1.3049426078796387,13,13,1
0.4,3,1123,1.3610069751739502,13,13,1
0.4,4,1124,1.6286749839782715,15,15,1
0.4,5,1125,1.585242748260498,15,15,1
0.4,6,1126,1.281672477722168,9,9,1
0.4,7,1127,1.4539618492126465,17,17,1
0.4,8,1128,1.8628871440887451,17,17,1
0.4,9,1129,2.0374655723571777,19,19,1
0.4,10,1130,1.7886791229248047,19,19,1
0.4,11,1131,1.672205924987793,15,15,1
0.4,12,1132,1.7756786346435547,17,17,1
0.4,13,1133,1.8325262069702148,17,17,1
0.4,14,1134,1.3927202224731445,13,13,1
0.4,15,1135,2.4971210956573486,15,15,1
0.4,16,1136,2.0413310527801514,17,17,1
0.4,17,1137,3.0030086040496826,17,17,1
0.4,18,1138,2.545997381210327,15,15,1
0.4,19,1139,2.6518375873565674,13,13,1
0.4,20,1140,1.600395679473877,9,9,1
0.4,21,1141,2.5076889991760254,13,13,1
0.4,22,1142,2.8098015785217285,15,15,1
0.4,23,1143,2.850395441055298,13,13,1
0.4,24,1144,3.012972116470337,15,15,1
0.4,25,1145,3.194145679473877,19,19,1
0.4,26,1146,3.2467732429504395,19,19,1
0.4,27,1147,2.0604476928710938,11,11,1
0.4,28,1148,2.269893169403076,15,15,1
0.4,29,1149,2.2673704624176025,13,13,1
0.4,30,1150,2.652336359024048,17,17,1
